feature SHAP_val importance
dn_p90 0.003081542206928134 0.0031450999
dn_p75 0.0032620010897517204 0.00437983
dn_p50 0.008657276630401611 0.019265017
dn_mean 0.003197620389983058 0.0036883862
dn_p25 0.011422086507081985 0.01427478
dn_p10 0.005765266716480255 0.0065655694
dn_std 0.005126961041241884 0.0025213913
dn_num 0.04603971168398857 0.01694247
dn_sum 0.024442626163363457 0.022669408
dp_p90 0.0071424683555960655 0.00481544
dp_p75 0.00902816466987133 0.0062867682
dp_p50 0.04798686131834984 0.2477984
dp_mean 0.06295055150985718 0.52209073
dp_p25 0.03201649710536003 0.06517633
dp_p10 0.003963802009820938 0.0025856483
dp_std 0.005924559198319912 0.0037230104
dp_num 0.03816564753651619 0.005680411
dp_sum 0.021479612216353416 0.016965516
cur_p90 0.0028729017358273268 0.003307654
cur_p75 0.005129076540470123 0.005568935
cur_p50 0.002619249513372779 0.0026077793
cur_mean 0.004689496010541916 0.0035827851
cur_p25 0.007120845373719931 0.0028884662
cur_p10 0.008358500897884369 0.002364169
cur_std 0.014607002027332783 0.0053758905
cur_num 0.010692836716771126 0.0025368172
cur_sum 0.005328518338501453 0.0031932874
