feature SHAP_val importance
dn_p90 0.0030103775206953287 0.012536873
dn_p75 0.0029808334074914455 0.009317021
dn_p50 0.00273434747941792 0.006624107
dn_mean 0.0015191580168902874 0.00792615
dn_p25 0.002668931847438216 0.0061835162
dn_p10 0.005105431191623211 0.0075507266
dn_std 0.006170840002596378 0.018015053
dn_num 0.02081223763525486 0.068315275
dn_sum 0.007816925644874573 0.018958202
dp_p90 0.009300226345658302 0.016429702
dp_p75 0.012755273841321468 0.044811845
dp_p50 0.01003299094736576 0.028373806
dp_mean 0.012034269981086254 0.103849605
dp_p25 0.0028002606704831123 0.0054819873
dp_p10 0.005490077659487724 0.007873411
dp_std 0.008777543902397156 0.0140934745
dp_num 0.0010940220672637224 0.0047989176
dp_sum 0.002332158852368593 0.0052504726
cur_p90 0.009616686962544918 0.013087099
cur_p75 0.0687703937292099 0.45323524
cur_p50 0.025953616946935654 0.041479796
cur_mean 0.013129642233252525 0.06376477
cur_p25 0.0035704681649804115 0.0074712266
cur_p10 0.007301909849047661 0.008040761
cur_std 0.009863088838756084 0.008833742
cur_num 0.00875112134963274 0.011175894
cur_sum 0.0034417682327330112 0.006521349
