feature SHAP_val importance
dn_p90 0.0031994697637856007 0.006036535
dn_p75 0.009205353446304798 0.027291104
dn_p50 0.008889605291187763 0.019011425
dn_mean 0.002444940386340022 0.0048339847
dn_p25 0.015369216911494732 0.023557147
dn_p10 0.009453022852540016 0.006415939
dn_std 0.012552348896861076 0.0053517963
dn_num 0.01830866001546383 0.015272684
dn_sum 0.01866534911096096 0.016956363
dp_p90 0.08643579483032227 0.47651795
dp_p75 0.019932888448238373 0.08859757
dp_p50 0.005765947047621012 0.00670363
dp_mean 0.03051445446908474 0.1815431
dp_p25 0.004823217634111643 0.004527955
dp_p10 0.006857489235699177 0.005937764
dp_std 0.020902803167700768 0.024369495
dp_num 0.014838737435638905 0.0057323975
dp_sum 0.019568227231502533 0.016574506
cur_p90 0.008056454360485077 0.0050327308
cur_p75 0.01405168417841196 0.012298185
cur_p50 0.00634080171585083 0.0065819076
cur_mean 0.012662357650697231 0.011627615
cur_p25 0.006481589749455452 0.006000357
cur_p10 0.007369312457740307 0.0040684547
cur_std 0.015319117344915867 0.008993443
cur_num 0.010869481600821018 0.00468692
cur_sum 0.007985311560332775 0.0054789823
