feature SHAP_val importance
dn_p90 0.006528002209961414 0.004678689
dn_p75 0.005855437833815813 0.0054603573
dn_p50 0.007633923087269068 0.010084211
dn_mean 0.0031331374775618315 0.00612348
dn_p25 0.008137871511280537 0.005931774
dn_p10 0.0033011878840625286 0.0035940066
dn_std 0.005442745052278042 0.0060430216
dn_num 0.005740699823945761 0.0037053686
dn_sum 0.01311799231916666 0.012586068
dp_p90 0.005074411164969206 0.004854837
dp_p75 0.04011382535099983 0.3448626
dp_p50 0.013341872952878475 0.048198633
dp_mean 0.06308551877737045 0.30615777
dp_p25 0.008898665197193623 0.015451221
dp_p10 0.016092024743556976 0.00996004
dp_std 0.007738916669040918 0.0063043525
dp_num 0.023670241236686707 0.025653724
dp_sum 0.011153164319694042 0.011406827
cur_p90 0.022264067083597183 0.052732408
cur_p75 0.01563703827559948 0.021199908
cur_p50 0.01490040123462677 0.025254065
cur_mean 0.015341326594352722 0.02113004
cur_p25 0.011397629044950008 0.016825363
cur_p10 0.010962607339024544 0.011642975
cur_std 0.014193943701684475 0.013635334
cur_num 0.00409476226195693 0.002862523
cur_sum 0.0030888698529452085 0.0036602744
